"Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Probability (%)","Close Date","Created Date","Next Step","Lead Source","Type","Primary Contact","Account ID","Contact: Email","Contact: Title"
"Citifinancial Mortgage Company, Inc.","OCI: IaaS Upgrade Proposal","Closed Lost","Q1-2025","382045.59","0","1/3/2025","1/12/2025","Document feedback from the Director of Operations","Cold Call","Renewal","","001Hu00003XRhtP","",""
"AT&T/Oakton","PaaS: Analytics Cloud Implementation","Closed Won","Q1-2025","62311.19","97","1/3/2025","1/12/2025","Send a thank-you note to the CRO","Referral","Expansion","","001Hu00003XRhre","",""
"Amazon Corporate LLC","PaaS: IoT Cloud Implementation","Closed Won","Q1-2025","17252.97","97","1/3/2025","1/12/2025","Send a thank-you note to the CTO","Web","Expansion","Evan Clay","001Hu00003XRhv9","evan.clay@amazoncorporatellc.com","VP of Engineering"
"VERIZON Virginia Inc.","OCI: Autonomous Database Expansion Project","Negotiate","Q1-2025","13533.00","71","1/4/2025","1/12/2025","Resolve open concerns with the Director of Operations","Social Media","New Business","","001Hu00003XRhr3","",""
"IBM Sales & Distribution","OCI: Networking Implementation","Propose","Q1-2025","5138.59","46","1/4/2025","1/12/2025","Discuss pricing options with the Director of Operations","Web","New Business","","001Hu00003XRhs3","",""
"AT&T TECHNOLOGIES","PaaS: Analytics Cloud Adoption Initiative","Negotiate","Q1-2025","265835.77","80","1/4/2025","1/12/2025","Negotiate terms with the CTO","Web","New Business","","001Hu00003XRhoY","",""
"Verizon/Wits 3","SaaS: HCM Upgrade Proposal","Propose","Q1-2025","455307.36","55","1/4/2025","1/12/2025","Discuss pricing options with the CFO","Social Media","Renewal","","001Hu00003XRhow","",""
"AT&T / IBMGS","PaaS: IoT Cloud Implementation","Meet & Present","Q1-2025","33764.19","24","1/4/2025","1/12/2025","Demonstrate product features to the CFO","Web","New Business","","001Hu00003XRhoQ","",""
"Boeing Company","OCI: Autonomous Database Upgrade Proposal","Meet & Present","Q1-2025","65766.59","26","1/4/2025","1/12/2025","Demonstrate product features to the Product Manager","Referral","New Business","Lucas Carlton","001Hu00003XRhqz","lucas.carlton@boeingcompany.com","VP of Engineering"
"Verizon Wireless Bloomington Staging","SaaS: SCM Implementation","Closed Won","Q1-2025","20865.17","97","1/4/2025","1/12/2025","Prepare onboarding materials for the CRO","Cold Call","New Business","Marcus Buckley","001Hu00003XRhnq","marcus.buckley@verizonwirelessbloomingtonstaging.com","VP of Operations"
"Exxon Mobil Fuels Marketing Company","PaaS: IoT Cloud Upgrade Proposal","Negotiate","Q1-2025","34560.31","72","1/5/2025","1/12/2025","Resolve open concerns with the CRO","Web","Renewal","Clara Morales","001Hu00003XRhuK","clara.morales@exxonmobilfuelsmarketingcompany.com","Director of Operations"
"AT&T BROADBAND PURCH & LEASING LLC","PaaS: IoT Cloud Upgrade Proposal","Propose","Q1-2025","419480.16","46","1/5/2025","1/12/2025","Discuss pricing options with the Director of Operations","Referral","Expansion","","001Hu00003XRhqH","",""
"Disney Shopping / The Walt Disney Company","PaaS: Integration Cloud Upgrade Proposal","Qualify","Q1-2025","60475.60","15","1/5/2025","1/12/2025","Schedule an initial call with the CEO","Referral","Expansion","","001Hu00003XRhw4","",""
"AT&T DG","SaaS: ERP Adoption Initiative","Negotiate","Q1-2025","72437.58","74","1/5/2025","1/12/2025","Resolve open concerns with the CTO","Referral","Renewal","","001Hu00003XRhsc","",""
"Disney Media","SaaS: Financials Upgrade Proposal","Meet & Present","Q1-2025","315921.15","24","1/5/2025","1/12/2025","Discuss initial feedback with the CEO","Referral","Renewal","Wesley Ramos","001Hu00003XRhrA","wesley.ramos@disneymedia.com","Director of Operations"
"AT&T Messaging","SaaS: CX Adoption Initiative","Meet & Present","Q1-2025","109553.04","29","1/5/2025","1/12/2025","Discuss initial feedback with the CFO","Event","Expansion","","001Hu00003XRhno","",""
"Information Technology Shared Services, a division of Johnson & Johnson Services, Inc ( Johnson & Johnson Medical Australia )","SaaS: Financials Upgrade Proposal","Closed Lost","Q1-2025","467666.06","2","1/5/2025","1/12/2025","Document feedback from the Director of Operations","Event","New Business","","001Hu00003XRhwA","",""
"BANK OF AMERICA, NATIONAL ASSOCIATION","OCI: Autonomous Database Implementation","Closed Won","Q1-2025","13037.17","97","1/5/2025","1/12/2025","Set up a kickoff meeting with the CTO","Social Media","New Business","","001Hu00003XRhvd","",""
"CITI ASSURANCE SERVICES INC","OCI: Storage Upgrade Proposal","Closed Won","Q1-2025","32639.48","96","1/5/2025","1/12/2025","Send a thank-you note to the Director of Operations","Referral","Renewal","Zachary Blake","001Hu00003XRhnG","zachary.blake@citiassuranceservicesinc.com","Regional Director"
"MICROSOFT TELLME","SaaS: EPM Adoption Initiative","Closed Won","Q1-2025","14778.78","96","1/5/2025","1/12/2025","Send a thank-you note to the Director of Operations","Cold Call","Renewal","Zachary Walker","001Hu00003XRhvv","zachary.walker@microsofttellme.com","Director of Sales"
"VERIZON BUSINESS PURCHASING LLC","OCI: Storage Upgrade Proposal","Closed Won","Q1-2025","5583.36","95","1/5/2025","1/12/2025","Send a thank-you note to the CTO","Social Media","Expansion","Chris Collins","001Hu00003XRhqY","chris.collins@verizonbusinesspurchasingllc.com","Director of Sales"
"Boeing MQ Series","PaaS: IoT Cloud Adoption Initiative","Meet & Present","Q1-2025","44671.72","30","1/6/2025","1/12/2025","Demonstrate product features to the CEO","Event","Expansion","Mia Bellamy","001Hu00003XRhoa","mia.bellamy@boeingmqseries.com","Director of Product"
"Walt Disney World Co","PaaS: Analytics Cloud Expansion Project","Propose","Q1-2025","50446.51","48","1/6/2025","1/12/2025","Send a proposal to the CEO","Referral","New Business","Natalie Stewart","001Hu00003XRhvk","natalie.stewart@waltdisneyworldco.com","Senior Director"
"Citigroup Information Technology Services","PaaS: Generative AI Implementation","Meet & Present","Q1-2025","47584.43","30","1/6/2025","1/12/2025","Demonstrate product features to the CTO","Social Media","New Business","Jane Conner","001Hu00003XRhpu","jane.conner@citigroupinformationtechnologyservices.com","CISO"
"Exxon Mobil","SaaS: EPM Adoption Initiative","Negotiate","Q1-2025","15625.71","73","1/6/2025","1/12/2025","Negotiate terms with the Director of Operations","Social Media","New Business","Seth Brennan","001Hu00003XRhqF","seth.brennan@exxonmobil.com","VP of Engineering"
"WALT DISNEY STUDIOS","PaaS: Integration Cloud Expansion Project","Propose","Q1-2025","87045.85","47","1/6/2025","1/12/2025","Send a proposal to the Director of Operations","Cold Call","Expansion","Chloe Austin","001Hu00003XRhrg","chloe.austin@waltdisneystudios.com","Director of Sales"
"Comcast Entertainment Group","OCI: IaaS Expansion Project","Meet & Present","Q1-2025","462040.86","29","1/6/2025","1/12/2025","Hold a meeting with the CFO to present our solution","Event","Renewal","Derek Bender","001Hu00003XRhpj","derek.bender@comcastentertainmentgroup.com","Director of Sales"
"AT&T CORPORATION CFO","OCI: Networking Adoption Initiative","Meet & Present","Q1-2025","107336.68","25","1/6/2025","1/12/2025","Demonstrate product features to the VP of Sales","Cold Call","New Business","","001Hu00003XRhs1","",""
"CITICARDS COMMUNICATIONS","SaaS: ERP Upgrade Proposal","Closed Lost","Q1-2025","240896.09","3","1/6/2025","1/12/2025","Plan re-engagement strategy with the Director of Operations","Event","Expansion","Colin Christian","001Hu00003XRhuZ","colin.christian@citicardscommunications.com","VP of Product"
"AT&T CUSTOM USER SOLUTIONS","OCI: Networking Expansion Project","Closed Lost","Q1-2025","6910.00","4","1/6/2025","1/12/2025","Document feedback from the CTO","Referral","New Business","","001Hu00003XRhwM","",""
"BOEING MISSILES AND SPACE","OCI: Storage Expansion Project","Closed Lost","Q1-2025","17714.20","0","1/6/2025","1/12/2025","Document feedback from the Product Manager","Web","Renewal","Amelia Barber","001Hu00003XRhv5","amelia.barber@boeingmissilesandspace.com","VP of Engineering"
"SPECIAL METALS CORPORATION","PaaS: IoT Cloud Adoption Initiative","Closed Won","Q1-2025","33090.47","96","1/6/2025","1/12/2025","Set up a kickoff meeting with the VP of Sales","Web","New Business","Penelope Carey","001Hu00003XRhrh","penelope.carey@specialmetalscorporation.com","Director of Engineering"
"BANK OF AMERICA TECHNOLOGY & OPERATIONS INC","OCI: IaaS Upgrade Proposal","Meet & Present","Q1-2025","340318.04","24","1/7/2025","1/12/2025","Demonstrate product features to the Product Manager","Social Media","Expansion","","001Hu00003XRhqI","",""
"BOB TRESTER / PFIZER","OCI: IaaS Expansion Project","Qualify","Q1-2025","67772.07","9","1/7/2025","1/12/2025","Schedule an initial call with the CEO","Cold Call","Renewal","","001Hu00003XRhrz","",""
"VERIZON WIRELESS","SaaS: CX Adoption Initiative","Meet & Present","Q1-2025","317168.60","21","1/7/2025","1/12/2025","Hold a meeting with the Product Manager to present our solution","Social Media","Renewal","Miles Fox","001Hu00003XRhpw","miles.fox@verizonwireless.com","CFO"
"AT&T Diversified Group","PaaS: Blockchain Implementation","Meet & Present","Q1-2025","365225.81","23","1/7/2025","1/12/2025","Hold a meeting with the CTO to present our solution","Event","Expansion","","001Hu00003XRhq4","",""
"IBM CORPPORATION","OCI: Storage Adoption Initiative","Meet & Present","Q1-2025","82911.55","25","1/7/2025","1/12/2025","Demonstrate product features to the CTO","Event","Renewal","Penelope Baird","001Hu00003XRhvJ","penelope.baird@ibmcorpporation.com","Senior Director"
"IBM RESEARCH","OCI: Storage Expansion Project","Qualify","Q1-2025","17916.45","10","1/7/2025","1/12/2025","Send introduction email to the Product Manager","Cold Call","Renewal","Emma Brooks","001Hu00003XRhs7","emma.brooks@ibmresearch.com","VP of Operations"
"AT&T Hosting","SaaS: HCM Adoption Initiative","Negotiate","Q1-2025","209705.34","80","1/7/2025","1/12/2025","Finalize contract details with the Product Manager","Event","Expansion","","001Hu00003XRhtU","",""
"Boeing Training and Flight Services","SaaS: CX Implementation","Meet & Present","Q1-2025","319771.53","25","1/7/2025","1/12/2025","Discuss initial feedback with the CTO","Referral","New Business","Colin Mason","001Hu00003XRhqv","colin.mason@boeingtrainingandflightservices.com","Director of Product"
"JOHNSON & JOHNSON CONSUMER PRODUCTS INC","PaaS: Generative AI Expansion Project","Closed Lost","Q1-2025","24108.72","0","1/7/2025","1/12/2025","Plan re-engagement strategy with the Director of Operations","Event","Renewal","","001Hu00003XRhuy","",""
"PFIZER CENTRAL RESEARCH","SaaS: HCM Expansion Project","Closed Lost","Q1-2025","491074.61","1","1/7/2025","1/12/2025","Analyze reasons for loss with the CFO","Event","New Business","Kai Moore","001Hu00003XRhrT","kai.moore@pfizercentralresearch.com","CTO"
"IBM Fairfax","PaaS: Blockchain Implementation","Closed Lost","Q1-2025","38441.37","4","1/7/2025","1/12/2025","Plan re-engagement strategy with the CEO","Cold Call","New Business","Colin Cruz","001Hu00003XRhtd","colin.cruz@ibmfairfax.com","VP of Sales"
"IBM Fairfax","SaaS: ERP Adoption Initiative","Closed Lost","Q1-2025","10147.75","0","1/7/2025","1/12/2025","Document feedback from the Product Manager","Social Media","New Business","Cooper Dixon","001Hu00003XRhtd","cooper.dixon@ibmfairfax.com","Director of Operations"
"Avaya Cms / Capital One Verizon Data Center","PaaS: Blockchain Adoption Initiative","Closed Won","Q1-2025","54295.09","100","1/7/2025","1/12/2025","Prepare onboarding materials for the VP of Sales","Web","Renewal","","001Hu00003XRhvP","",""
"JOHNSON & JOHNSON (INC)","OCI: Storage Expansion Project","Closed Won","Q1-2025","382573.09","98","1/7/2025","1/12/2025","Send a thank-you note to the CEO","Social Media","New Business","","001Hu00003XRhsS","",""
"PFIZER - LA JOLLA","OCI: Storage Upgrade Proposal","Negotiate","Q1-2025","10586.82","76","1/8/2025","1/12/2025","Negotiate terms with the CFO","Cold Call","Expansion","Michelle Callahan","001Hu00003XRhth","michelle.callahan@pfizer-lajolla.com","VP of Engineering"
"BOEING AEROSPACE CORPORATION","SaaS: SCM Implementation","Propose","Q1-2025","386844.78","54","1/8/2025","1/12/2025","Discuss pricing options with the CEO","Web","Renewal","Rachel Watson","001Hu00003XRhnc","rachel.watson@boeingaerospacecorporation.com","CIO"
"IBM, Tradec","SaaS: ERP Upgrade Proposal","Negotiate","Q1-2025","6549.20","73","1/8/2025","1/12/2025","Negotiate terms with the CFO","Referral","New Business","","001Hu00003XRhp9","",""
"WALMART.COM","PaaS: Integration Cloud Adoption Initiative","Meet & Present","Q1-2025","112265.10","25","1/8/2025","1/12/2025","Discuss initial feedback with the VP of Sales","Web","New Business","Finn Best","001Hu00003XRhqU","finn.best@walmart.com.com","VP of Operations"
"CITICORP INFORMATION TECHNOLOGIES, INC","SaaS: ERP Upgrade Proposal","Negotiate","Q1-2025","73968.61","73","1/8/2025","1/12/2025","Negotiate terms with the VP of Sales","Referral","New Business","","001Hu00003XRhut","",""
"VERIZON MULTIMEDIA","SaaS: HCM Adoption Initiative","Propose","Q1-2025","134430.67","50","1/8/2025","1/12/2025","Discuss pricing options with the CEO","Social Media","New Business","Layla Reynolds","001Hu00003XRhqW","layla.reynolds@verizonmultimedia.com","VP of Sales"
"IBM VENDOR ACCOUNTING","PaaS: IoT Cloud Upgrade Proposal","Propose","Q1-2025","24142.38","52","1/8/2025","1/12/2025","Review the proposal with the VP of Sales","Social Media","Renewal","Henry Becker","001Hu00003XRhvW","henry.becker@ibmvendoraccounting.com","Director of Operations"
"Comcast Spectacor","OCI: Autonomous Database Adoption Initiative","Closed Won","Q1-2025","478750.37","95","1/8/2025","1/12/2025","Send a thank-you note to the CTO","Social Media","Renewal","Max Stewart","001Hu00003XRhuY","max.stewart@comcastspectacor.com","VP of Sales"
"CITICORP INFORMATION TECHNOLOGIES, INC","PaaS: Integration Cloud Upgrade Proposal","Propose","Q1-2025","15935.42","51","1/9/2025","1/12/2025","Send a proposal to the VP of Sales","Cold Call","Expansion","","001Hu00003XRhut","",""
"AT&T/LUCENT","SaaS: SCM Upgrade Proposal","Negotiate","Q1-2025","9752.19","76","1/9/2025","1/12/2025","Resolve open concerns with the CFO","Web","Renewal","","001Hu00003XRhqp","",""
"COX TARGET MEDIA - VALPAK","SaaS: ERP Adoption Initiative","Propose","Q1-2025","9059.19","55","1/9/2025","1/12/2025","Discuss pricing options with the CEO","Cold Call","Renewal","Charlotte Cole","001Hu00003XRhpH","charlotte.cole@coxtargetmedia-valpak.com","VP of Operations"
"JP Morgan Chase - Polars McCoy Center","OCI: Networking Implementation","Propose","Q1-2025","14903.95","48","1/9/2025","1/12/2025","Send a proposal to the CRO","Event","New Business","Audrey Hamilton","001Hu00003XRhw7","audrey.hamilton@jpmorganchase-polarsmccoycenter.com","VP of Engineering"
"Amazon Robotics LLC","SaaS: Financials Adoption Initiative","Propose","Q1-2025","402613.85","46","1/9/2025","1/12/2025","Review the proposal with the VP of Sales","Event","Expansion","Lucas Cruz","001Hu00003XRhog","lucas.cruz@amazonroboticsllc.com","Regional Director"
"Apple Inc","PaaS: Analytics Cloud Implementation","Meet & Present","Q1-2025","8993.97","21","1/9/2025","1/12/2025","Discuss initial feedback with the VP of Sales","Event","Expansion","Harper Holmes","001Hu00003XRhrk","harper.holmes@appleinc.com","Senior Director"
"AT&T CORPORATION ITS","SaaS: SCM Implementation","Propose","Q1-2025","46499.44","47","1/9/2025","1/12/2025","Discuss pricing options with the Director of Operations","Web","Expansion","","001Hu00003XRhta","",""
"Johnson & Johnson International Inc","OCI: Compute Adoption Initiative","Qualify","Q1-2025","20802.17","6","1/9/2025","1/12/2025","Gather requirements from the CRO","Social Media","Renewal","","001Hu00003XRhnt","",""
"VERIZON BUSINESS HOSTING CENTER","SaaS: ERP Upgrade Proposal","Qualify","Q1-2025","422046.12","11","1/9/2025","1/12/2025","Send introduction email to the Director of Operations","Cold Call","Renewal","Nora Blankenship","001Hu00003XRhpO","nora.blankenship@verizonbusinesshostingcenter.com","Director of Marketing"
"BOEING INFORMATION SPACE & DEFENSE SYSTEMS","SaaS: EPM Adoption Initiative","Propose","Q1-2025","25466.55","55","1/9/2025","1/12/2025","Send a proposal to the CEO","Social Media","Renewal","","001Hu00003XRhtA","",""
"IBM CROSSWORLDS","OCI: Autonomous Database Adoption Initiative","Meet & Present","Q1-2025","84187.74","25","1/9/2025","1/12/2025","Demonstrate product features to the CTO","Social Media","Renewal","Henry Howard","001Hu00003XRht6","henry.howard@ibmcrossworlds.com","Senior Director"
"Verizon - VZ Data Services, Inc.","SaaS: CX Expansion Project","Negotiate","Q1-2025","471144.23","80","1/9/2025","1/12/2025","Negotiate terms with the CEO","Web","New Business","","001Hu00003XRhu1","",""
"Chevron U.S.A. Inc., a Pennsylvania Corporation, by its Chevron Information Technology Company Division","SaaS: CX Upgrade Proposal","Qualify","Q1-2025","281392.33","9","1/9/2025","1/12/2025","Send introduction email to the CFO","Cold Call","Expansion","","001Hu00003XRht5","",""
"Disneyland","OCI: Storage Upgrade Proposal","Closed Lost","Q1-2025","56687.50","5","1/9/2025","1/12/2025","Analyze reasons for loss with the Product Manager","Web","New Business","Max Rogers","001Hu00003XRhnZ","max.rogers@disneyland.com","VP of Marketing"
"IBM BUSINESS RECOVERY SERVICES","OCI: Autonomous Database Implementation","Closed Lost","Q1-2025","97298.02","1","1/9/2025","1/12/2025","Plan re-engagement strategy with the CEO","Web","New Business","Summer Coffey","001Hu00003XRhtc","summer.coffey@ibmbusinessrecoveryservices.com","VP of Product"
"ASP Johnson & Johnson","PaaS: Blockchain Upgrade Proposal","Meet & Present","Q1-2025","232986.89","24","1/10/2025","1/12/2025","Demonstrate product features to the Director of Operations","Event","Renewal","","001Hu00003XRhq9","",""
"VERIZON BUSINESS GLOBAL LLC","SaaS: HCM Implementation","Meet & Present","Q1-2025","84412.32","21","1/10/2025","1/12/2025","Demonstrate product features to the CTO","Social Media","New Business","Naomi Price","001Hu00003XRhw3","naomi.price@verizonbusinessgloballlc.com","Director of Operations"
"AT&T WIRELESS SERVICES INC","PaaS: IoT Cloud Expansion Project","Propose","Q1-2025","13025.31","55","1/10/2025","1/12/2025","Send a proposal to the CFO","Social Media","Expansion","","001Hu00003XRhtt","",""
"Citigroup - The Yield Book","SaaS: HCM Implementation","Propose","Q1-2025","5103.49","49","1/10/2025","1/12/2025","Discuss pricing options with the Director of Operations","Social Media","New Business","Naomi Becker","001Hu00003XRhu6","naomi.becker@citigroup-theyieldbook.com","Director of Engineering"
"Boeing Intelligence And Security Systems","SaaS: CX Upgrade Proposal","Meet & Present","Q1-2025","9470.24","21","1/10/2025","1/12/2025","Discuss initial feedback with the CRO","Referral","Expansion","Alice Casey","001Hu00003XRhu7","alice.casey@boeingintelligenceandsecuritysystems.com","Director of Sales"
"The Walt Disney Company","OCI: Networking Implementation","Meet & Present","Q1-2025","191276.56","22","1/10/2025","1/12/2025","Hold a meeting with the Product Manager to present our solution","Cold Call","Renewal","Faith Gordon","001Hu00003XRhvB","faith.gordon@thewaltdisneycompany.com","CISO"
"IBM Global Procurement","SaaS: Financials Upgrade Proposal","Meet & Present","Q1-2025","12742.89","30","1/10/2025","1/12/2025","Hold a meeting with the Product Manager to present our solution","Cold Call","Renewal","Caleb Bond","001Hu00003XRhw9","caleb.bond@ibmglobalprocurement.com","VP of Marketing"
"Target Corporation (TTCE)","OCI: Storage Expansion Project","Meet & Present","Q1-2025","131084.76","27","1/10/2025","1/12/2025","Discuss initial feedback with the CEO","Event","Expansion","Ava Compton","001Hu00003XRhnR","ava.compton@targetcorporation.com","Director of Engineering"
"THE BOEING CO","OCI: Storage Implementation","Meet & Present","Q1-2025","71891.66","23","1/10/2025","1/12/2025","Discuss initial feedback with the Product Manager","Referral","New Business","Elijah Baldwin","001Hu00003XRhuE","elijah.baldwin@theboeingco.com","CTO"
"Amazon Procurement, Inc.","PaaS: Integration Cloud Implementation","Closed Lost","Q1-2025","5457.48","3","1/10/2025","1/12/2025","Document feedback from the VP of Sales","Cold Call","Expansion","","001Hu00003XRhvu","",""
"BOEING DEFENSE & SPACE GROUP","SaaS: HCM Implementation","Closed Won","Q1-2025","7934.79","97","1/10/2025","1/12/2025","Send a thank-you note to the Product Manager","Event","Renewal","","001Hu00003XRhpo","",""
