"First Name","Last Name","Title","Account Name","Email","Account ID"
"Sophia","Clarke","Director of Operations","CITIFINANCIAL","sophia.clarke@citifinancial.com","001Hu00003XRhtY"
"Mason","Burke","Director of Marketing","CITIFINANCIAL","mason.burke@citifinancial.com","001Hu00003XRhtY"
"Jude","Peterson","Director of Marketing","CITIFINANCIAL","jude.peterson@citifinancial.com","001Hu00003XRhtY"
"Jude","Branch","Director of Product","CITIFINANCIAL","jude.branch@citifinancial.com","001Hu00003XRhtY"
"Phoenix","Conley","VP of Product","CITIFINANCIAL","phoenix.conley@citifinancial.com","001Hu00003XRhtY"
"Sophia","Alston","Regional Director","CITIFINANCIAL","sophia.alston@citifinancial.com","001Hu00003XRhtY"
"Evan","Webb","VP of Operations","CITIFINANCIAL","evan.webb@citifinancial.com","001Hu00003XRhtY"
"Stella","Fleming","Regional Director","CITIFINANCIAL","stella.fleming@citifinancial.com","001Hu00003XRhtY"
"Summer","Morales","Director of Product","CITIFINANCIAL","summer.morales@citifinancial.com","001Hu00003XRhtY"
"Iris","Calhoun","Director of Marketing","CITIFINANCIAL","iris.calhoun@citifinancial.com","001Hu00003XRhtY"
"Owen","Palmer","Director of Operations","CITIFINANCIAL","owen.palmer@citifinancial.com","001Hu00003XRhtY"
"Luna","Collier","Director of Marketing","CITIFINANCIAL","luna.collier@citifinancial.com","001Hu00003XRhtY"
"Marcus","Ashley","Director of Marketing","CITIFINANCIAL","marcus.ashley@citifinancial.com","001Hu00003XRhtY"
"Asher","Boyd","VP of Product","CITIFINANCIAL","asher.boyd@citifinancial.com","001Hu00003XRhtY"
"Amelia","Carey","VP of Sales","CITIFINANCIAL","amelia.carey@citifinancial.com","001Hu00003XRhtY"
"Bella","Bailey","VP of Marketing","STRUCTURAL METALS INC","bella.bailey@structuralmetalsinc.com","001Hu00003XRhqM"
"Lucy","Morgan","Director of Operations","STRUCTURAL METALS INC","lucy.morgan@structuralmetalsinc.com","001Hu00003XRhqM"
"August","Kennedy","Senior Director","STRUCTURAL METALS INC","august.kennedy@structuralmetalsinc.com","001Hu00003XRhqM"
"Zachary","Blankenship","Senior Director","STRUCTURAL METALS INC","zachary.blankenship@structuralmetalsinc.com","001Hu00003XRhqM"
"Nathan","Chapman","Executive Director","STRUCTURAL METALS INC","nathan.chapman@structuralmetalsinc.com","001Hu00003XRhqM"
"Paisley","Bray","CEO","Alcona Citizens for Health","paisley.bray@alconacitizensforhealth.com","001Hu00003XRhqm"
"Jude","Fox","CFO","Alcona Citizens for Health","jude.fox@alconacitizensforhealth.com","001Hu00003XRhqm"
"Sophia","Foster","CTO","Alcona Citizens for Health","sophia.foster@alconacitizensforhealth.com","001Hu00003XRhqm"
"Cooper","Beach","CRO","Alcona Citizens for Health","cooper.beach@alconacitizensforhealth.com","001Hu00003XRhqm"
"Rose","Banks","CIO","Alcona Citizens for Health","rose.banks@alconacitizensforhealth.com","001Hu00003XRhqm"
"Naomi","Carlton","CISO","Alcona Citizens for Health","naomi.carlton@alconacitizensforhealth.com","001Hu00003XRhqm"
"Piper","Briggs","CMO","Alcona Citizens for Health","piper.briggs@alconacitizensforhealth.com","001Hu00003XRhqm"
"Xavier","Bolton","Director of Sales","Alcona Citizens for Health","xavier.bolton@alconacitizensforhealth.com","001Hu00003XRhqm"
"Chase","Ferguson","VP of Operations","Alcona Citizens for Health","chase.ferguson@alconacitizensforhealth.com","001Hu00003XRhqm"
"Paisley","Lopez","VP of Product","Alcona Citizens for Health","paisley.lopez@alconacitizensforhealth.com","001Hu00003XRhqm"
"Faith","Cannon","Director of Sales","Alcona Citizens for Health","faith.cannon@alconacitizensforhealth.com","001Hu00003XRhqm"
"Morgan","Walsh","VP of Sales","Alcona Citizens for Health","morgan.walsh@alconacitizensforhealth.com","001Hu00003XRhqm"
"Autumn","Castillo","VP of Sales","Alcona Citizens for Health","autumn.castillo@alconacitizensforhealth.com","001Hu00003XRhqm"
"Alex","Bryan","Director of Operations","Alcona Citizens for Health","alex.bryan@alconacitizensforhealth.com","001Hu00003XRhqm"
"Theodore","Peterson","VP of Product","Alcona Citizens for Health","theodore.peterson@alconacitizensforhealth.com","001Hu00003XRhqm"
